#gen      BHL
          84      18.729
          85     18.2765
          86     18.5598
          87     18.6646
          88     19.3435
          89     19.8264
          90     19.6682
          91      18.915
          92     18.4705
          93     18.6438
          94     18.8321
          95     18.5387
          96     18.5722
          97     18.2198
          98     18.0227
          99     18.3083
           0     17.8253
           1     17.9556
           2     17.9223
           3     18.3773
           4     18.8029
           5      18.937
           6     18.5483
           7     18.4922
           8     18.7533
           9     18.2053
          10     18.2786
          11     18.3076
          12     18.3256
          13     19.0832
          14     19.5501
          15     19.4812
          16     19.4469
          17     18.9159
          18     18.6611
          19     18.1742
          20     17.8244
          21     17.7678
          22     17.9548
          23     17.9367
          24     17.8991
          25     18.0878
          26     17.8262
          27     18.1966
          28     17.9627
          29     18.1719
          30     18.0691
          31     17.8851
          32     17.7833
          33     17.5288
          34     17.5464
          35     16.9479
          36     16.9357
          37     17.6203
          38     17.8246
          39     18.3804
          40       18.56
          41     17.9674
          42     18.1702
          43     17.9576
          44     17.3438
          45     17.5168
          46     17.2148
          47     16.8851
          48     17.1029
          49     17.3491
          50     17.1947
          51     16.9843
          52     16.7453
          53     17.1991
          54     17.2457
          55     16.9099
          56     17.1148
          57     17.6524
          58      17.698
          59     17.5015
          60     18.3145
          61     18.0996
          62     18.0603
          63     18.7736
          64     18.3022
          65     17.1628
          66     17.5082
          67      16.797
          68     16.4519
          69     15.9312
          70     15.8407
          71     15.7518
          72     16.0251
          73     15.8075
          74     15.9184
          75     15.3238
          76      15.207
          77     15.7583
          78     15.7881
          79     16.0438
          80     16.8642
          81     17.4102
          82      16.909
          83     16.5446
          84     16.0003
          85     15.8747
          86     15.5235
          87     15.1381
          88     15.4344
          89     16.0418
          90     15.6494
          91     15.9579
          92     16.4309
          93     16.2882
          94     16.0588
          95       16.52
          96     16.1482
          97     15.6407
          98     15.6323
          99     15.5744
           0     16.0962
           1     15.7822
           2     15.9866
           3     15.8373
           4      15.675
           5     16.0928
           6      16.184
           7     15.9779
           8     15.3477
           9     15.4061
          10      15.918
          11     16.0431
          12     15.9257
          13     16.2715
          14     16.2154
          15     16.2288
          16     15.9389
          17      15.662
          18     16.1168
          19     16.1914
          20     15.7932
          21     15.5441
          22     15.7327
          23     15.1732
          24     15.9968
          25     15.4869
          26     15.0132
          27          15
          28     15.8406
          29     15.8351
          30     15.9173
          31     15.7246
          32     15.6058
          33     15.7977
          34     15.9043
          35     16.3388
          36     15.7017
          37     15.7726
          38     15.8382
          39     15.8235
          40     16.0092
          41     15.7246
          42     15.8599
          43     15.3446
          44     14.8406
          45     15.4704
          46     15.7632
          47     16.0058
          48     15.8115
          49     15.2385
          50     15.4951
          51     15.7937
          52     15.7703
          53     16.1071
          54     16.0509
          55     16.0544
          56     15.8021
          57     15.5676
          58     15.1646
          59      14.772
          60     14.7624
          61     14.9655
          62     14.5104
          63     15.1031
          64     15.1889
          65     15.1911
          66      15.417
          67      15.076
          68     14.8657
          69     14.8099
          70     15.1622
          71     15.1228
          72     15.0877
          73      14.679
          74     14.8387
          75     15.2898
          76     14.9358
          77     14.5874
          78     14.3714
          79     14.0388
          80     14.0951
          81     14.0222
          82     14.3281
          83     14.6766
          84      14.437
          85     14.4689
          86     14.3467
          87     14.5428
          88     14.1391
          89     14.3972
          90      14.459
          91     14.4924
          92      13.909
          93     13.4302
          94     13.5134
          95     13.8508
          96      14.123
          97     14.0062
          98     13.7893
          99     13.7337
           0     13.8815
           1     13.7046
           2     13.9791
           3     13.9969
           4     14.0439
           5     13.3191
           6     13.1245
           7     12.9689
           8     13.3012
           9     12.9361
          10     13.2182
          11     12.9753
          12     12.9463
          13     13.1907
          14     13.6372
          15     13.7492
          16     14.0989
          17     13.9896
          18     14.2232
          19     13.9262
          20      13.595
          21     13.4461
          22     13.5671
          23     13.5092
          24     13.2342
          25     13.6374
          26      13.804
          27     14.0353
          28     13.7354
          29     13.5084
          30     13.3524
          31     13.1255
          32     13.0268
          33     12.8386
          34     13.0359
          35     13.0852
          36     13.0826
          37     13.0079
          38      13.221
          39      13.031
          40     13.4628
          41     12.8109
          42     13.0772
          43     12.9372
          44     13.0559
          45     13.2238
          46     12.9262
          47     12.8736
          48     13.3741
          49     13.2836
          50     13.2441
          51     13.0976
          52     12.8359
          53     12.9563
          54     12.8807
          55     13.2705
          56     13.0698
          57     12.6661
          58     13.1062
          59     13.2941
          60     13.2908
          61     13.3527
          62     13.5067
          63     13.5931
          64     13.4749
          65     13.4966
          66     13.0453
          67     12.9365
          68     12.6689
          69     12.8069
          70     13.4127
          71     13.2934
          72     13.2214
          73     12.6195
          74     12.4481
          75     12.2613
          76     12.8735
          77     12.8975
          78      13.372
          79     13.0899
          80     13.2161
          81     13.2715
          82     13.4256
          83     13.4998
          84     12.7068
          85     12.9212
          86     13.5299
          87     12.9274
          88     13.3228
          89     12.8357
          90       12.91
          91     12.7893
          92     12.8798
          93     13.3901
          94     13.0066
          95     12.6347
          96     12.3035
          97     12.7587
          98     12.7313
          99     13.0464
           0     12.6702
           1     13.2095
           2     13.8836
           3     13.8582
           4       13.94
           5     13.8298
           6     13.5396
           7     13.4659
           8     13.2215
           9     12.8854
          10     13.3851
          11     12.9953
          12     13.0415
          13     13.6254
          14     13.5425
          15      13.742
          16     13.7726
          17     13.7947
          18      13.659
          19     13.4779
          20     13.3164
          21     12.8221
          22     12.1754
          23     12.2303
          24     12.8646
          25     13.2966
          26     13.5241
          27     13.1719
          28     13.7962
          29     13.8835
          30     13.6164
          31     13.2343
          32      13.006
          33     12.8345
          34     13.0373
          35     13.0598
          36     12.3499
          37     12.4874
          38     11.8736
          39     12.3095
          40     12.1137
          41     12.0644
          42     12.0723
          43     11.9866
          44     12.5068
          45     11.6924
          46     12.1315
          47     12.0819
          48     12.0374
          49     12.3694
          50     12.1931
          51     11.9332
          52     12.1725
          53     11.4923
          54     11.3277
          55     11.3166
          56     11.3852
          57     11.3466
          58     11.5402
          59     11.3354
          60     11.6284
          61     11.8275
          62     11.8134
          63     11.8272
          64     11.5461
          65     11.5653
          66     11.5892
          67     11.5051
          68     11.6854
          69     12.0169
          70     11.8815
          71     11.6654
