#gen      BHL
           3      80.233
           4     80.8339
           5     81.1181
           6     81.4795
           7     80.4514
           8     80.0602
           9     78.0924
          10     76.7625
          11     77.1275
          12     77.2531
          13     77.2766
          14     75.9426
          15     75.3182
          16     76.0399
          17     76.0541
          18     75.8185
          19     76.0545
          20     75.8896
          21     75.4697
          22     74.4687
          23     75.2926
          24     76.3093
          25      76.026
          26     75.6567
          27     76.3951
          28     76.6353
          29     75.7693
          30     76.4448
          31     76.0156
          32     76.4248
          33     76.9094
          34     77.4221
          35     77.2115
          36      76.095
          37     76.4328
          38     77.1006
          39     77.0554
          40     76.1846
          41     75.8125
          42     75.4549
          43     75.1317
          44     75.4607
          45     77.2582
          46     77.2355
          47     77.7259
          48     76.7482
          49     78.8859
          50     77.3968
          51     77.5535
          52     76.5151
          53     76.7544
          54     75.8614
          55     75.1416
          56     75.0787
          57     75.3824
          58     75.6911
          59     76.0091
          60     75.1436
          61     75.9533
          62     75.8169
          63     75.2341
          64     76.3927
          65     75.3253
          66      76.273
          67     77.8344
          68     77.1654
          69     77.2752
          70     77.6993
          71     77.5144
          72     77.2955
          73     75.6129
          74     75.2178
          75     75.4593
          76     75.5411
          77     75.7227
          78     75.9268
          79     76.1469
          80     76.2105
          81     76.8624
          82     78.3167
          83     77.4802
          84     77.2788
          85     77.7131
          86     77.2993
          87     75.9508
          88     75.4873
          89     74.9326
          90     75.7584
          91      76.529
          92     77.0878
          93     77.2058
          94     76.8965
          95      75.879
          96     76.5633
          97     76.4154
          98     75.6081
          99     75.6213
           0     76.2602
           1     76.2008
           2     75.3216
           3     75.5386
           4     75.5955
           5      75.399
           6     75.5823
           7     75.5299
           8      75.352
           9     74.7528
          10      75.269
          11     74.7752
          12     74.0114
          13     74.5004
          14     74.9748
          15     75.5215
          16     75.5638
          17     77.4565
          18     78.4987
          19     77.3641
          20     77.3601
          21      76.167
          22      76.383
          23     77.1441
          24     76.4257
          25     75.2156
          26     76.3514
          27     75.0764
          28     75.2656
          29     75.1256
          30     74.6829
          31     75.0296
          32     74.8461
          33      75.357
          34     74.6487
          35     75.4699
          36     76.1222
          37     74.8783
          38       75.17
          39     74.9306
          40      74.241
          41     75.0599
          42     74.3642
          43     74.2857
          44     75.0307
          45     75.1143
          46     75.0978
          47     74.4799
          48     74.4578
          49     75.0379
          50     75.3932
          51     74.8621
          52     75.9839
          53     76.0449
          54     76.6346
          55     75.7137
          56     74.9268
          57     75.4108
          58     75.3187
          59      76.028
          60     76.1494
          61     75.3979
          62     75.2635
          63      74.962
          64      75.318
          65     74.6955
          66     75.6774
          67     76.8882
          68     76.8268
          69     77.9656
          70     76.5715
          71      76.096
          72     75.0115
          73     74.6661
          74     74.9017
          75     75.1863
          76     75.1812
          77     74.7947
          78     75.3594
          79     75.4485
          80     74.2359
          81     74.2248
          82     74.4829
          83     74.7818
          84       74.23
          85     74.8773
          86     74.9874
          87     75.6039
          88     74.7002
          89     74.8912
          90     75.1674
          91     74.1228
          92     76.2204
          93     77.0457
          94     77.3481
          95     76.3734
          96     75.7849
          97     74.9856
          98     75.3303
          99     74.2734
           0     74.2705
           1      74.404
           2     76.4583
           3     77.0526
           4     76.3943
           5     75.8645
           6      74.767
           7     77.1695
           8     76.5902
           9     76.2073
          10      76.445
          11     76.8264
          12     75.6815
          13     77.0745
          14     75.1467
          15     75.6041
          16     77.1924
          17     76.2727
          18     76.4968
          19     76.1468
          20     76.6657
          21     76.6943
          22     75.4605
          23     76.0677
          24     77.0461
