#T           <H>          error         SIGMA         MU 
     1.33349   -0.279038   0.0226343    0.984966  0.00605605
     1.34016   -0.322712   0.0299151     1.21852   0.0185974
     1.34686   -0.359999   0.0207027     1.06715    0.122908
      1.3536   -0.277775   0.0437589     1.10537    0.185171
     1.36037   -0.223462    0.019657    0.792589    0.374083
     1.36717   -0.423228   0.0105204    0.626216    0.700766
       1.374   -0.451021   0.0152473    0.759748    0.805562
     1.38087   -0.430608   0.0213769    0.778237    0.818946
     1.38778   -0.342948   0.0297834     1.05658    0.252232
     1.39472   -0.291965   0.0272411     1.05742   0.0802104
     1.40169   -0.077436   0.0638948     1.12079    0.173756
      1.4087   0.0496097   0.0726868      1.4064    0.245982
     1.41574   0.0753089   0.0646127     1.35774    0.251293
     1.42282    0.973488    0.191841     1.50855    0.411708
     1.42993   -0.152253   0.0521088     1.19087    0.233815
     1.43708   -0.404049   0.0188854    0.983717    0.288229
     1.44427   -0.283724   0.0254224    0.944691    0.108782
     1.45149    0.111735    0.028416    0.566554    0.320166
     1.45875   -0.138286   0.0229703    0.797461   0.0684359
     1.46604   -0.232103   0.0223871    0.866832     0.25631
     1.47337    0.378003   0.0359132    0.538871    0.161012
     1.48074   -0.387269   0.0140221    0.571092    0.655534
     1.48814   -0.442371   0.0114731    0.653191    0.882069
     1.49558   -0.457923  0.00838418    0.642251    0.787834
     1.50306    -0.44208   0.0105115    0.702188    0.757536
     1.51058   -0.349035    0.024664    0.814474    0.609627
     1.51813   -0.327048   0.0193482    0.810018    0.603876
     1.52572   0.0114835   0.0627321    0.954694    0.810837
     1.53335   -0.379974   0.0228693    0.863042     0.70422
     1.54102   -0.354527   0.0236176    0.930888    0.479978
     1.54872   -0.330662   0.0175115    0.772447    0.536921
     1.55646   -0.380787   0.0220724    0.976507    0.346525
     1.56425   -0.272764   0.0246479    0.936308    0.149939
     1.57207   -0.344253   0.0256904    0.805557    0.668934
     1.57993   -0.376825   0.0271565     1.03897    0.444786
     1.58783   -0.394041   0.0142441    0.565931    0.693124
     1.59577   -0.334446   0.0206893    0.794959    0.637253
     1.60375   -0.387477   0.0206758    0.867683    0.539057
     1.61176   -0.412862   0.0187788    0.858398    0.521731
     1.61982    -0.45534   0.0100257    0.612139    0.709797
     1.62792   -0.312131   0.0329871    0.883175    0.802621
     1.63606   -0.296607   0.0310426     1.00583    0.531566
     1.64424   -0.303387   0.0211668    0.906747    0.411422
     1.65246   -0.294786   0.0207098    0.898186     0.03645
     1.66073   -0.111522   0.0281637    0.686534    0.167268
     1.66903    -0.37033  0.00945373    0.637898    0.693023
     1.67737   -0.422183   0.0101369    0.610875    0.693728
     1.68576   -0.412717  0.00987912    0.598035    0.719867
     1.69419    -0.42898   0.0110721    0.651842    0.754065
     1.70266   -0.418794   0.0142077    0.711301    0.631692
     1.71117   -0.278584   0.0254462    0.957297    0.508016
     1.71973   -0.378598   0.0230086    0.856899    0.708329
     1.72833   -0.405747   0.0236092    0.888169    0.764139
     1.73697   -0.409451   0.0174161    0.701126    0.832532
     1.74566   -0.429377   0.0138723    0.578732    0.848974
     1.75438   -0.477685   0.0111593    0.690413    0.778128
     1.76316   -0.462625  0.00885407    0.650401    0.725397
     1.77197   -0.461229   0.0207798    0.528084    0.730441
     1.78083 -0.00395818   0.0254923    0.482787     1.05782
     1.78974   -0.431561   0.0156569    0.565829    0.854844
     1.79868   -0.213693   0.0281607    0.593155     1.07803
     1.80768    0.275825   0.0250182    0.493622     1.22187
     1.81672  -0.0250047   0.0269789     0.47476     1.07537
      1.8258   -0.149809   0.0350241    0.455334    0.938746
     1.83493   -0.456734  0.00915682    0.614974    0.760538
      1.8441   -0.392234   0.0256166    0.986326    0.626298
     1.85332   -0.369262    0.020997    0.901407    0.568607
     1.86259   -0.303545   0.0206093    0.918521    0.129294
      1.8719    0.266617    0.112255     1.47107    0.282751
     1.88126     1.90929    0.266697     1.61761   0.0124517
     1.89067    0.157474   0.0837651     1.29233   0.0623801
     1.90012   -0.211461   0.0714404     1.23141    0.143737
     1.90962   -0.335597   0.0387817     1.17103   0.0424932
     1.91917   -0.306775    0.026828     1.03216    0.291749
     1.92877   -0.315679   0.0443567     1.14773   0.0586283
     1.93841   -0.204502   0.0642749     1.23763    0.171569
      1.9481   -0.315999   0.0194978    0.997185   0.0683953
     1.95784   -0.356975    0.023534    0.979454    0.395218
     1.96763   -0.348215   0.0210003     0.97277    0.429257
     1.97747   -0.334877   0.0187459    0.992122  0.00705593
     1.98736   -0.120024   0.0253568    0.684804    0.329344
      1.9973   -0.263178   0.0287983    0.479197    0.680806
     2.00728   -0.334794   0.0159415    0.748343    0.582199
     2.01732   -0.289085   0.0212974    0.876455   0.0749067
      2.0274   -0.342351   0.0179784    0.825814    0.455177
     2.03754   -0.358946   0.0246134     0.95584    0.528684
     2.04773   -0.347369   0.0235082     1.03133    0.356554
     2.05797   -0.339323    0.023925    0.965116    0.316167
     2.06826   -0.292023   0.0226245    0.981242    0.183516
      2.0786   -0.335201   0.0286425     1.06337    0.375945
     2.08899   -0.378842   0.0203224    0.917996    0.455621
     2.09944   -0.234345   0.0312851     1.15401    0.209084
     2.10993    -0.32592   0.0331741     1.14858   0.0433161
     2.12048   -0.132784   0.0497276    0.907121    0.867326
     2.13109   -0.293329   0.0241233     1.01025    0.323398
     2.14174   -0.364009   0.0241212     1.13295     0.21127
     2.15245   -0.340215   0.0178211     0.96147    0.243952
     2.16321   -0.302784   0.0285671     1.08404    0.175717
     2.17403    -0.34897   0.0177518    0.992378    0.241779
      2.1849   -0.328168   0.0326214    0.924787    0.622242
     2.19582   -0.415521    0.015559    0.651043    0.843572
      2.2068   -0.449579  0.00947305    0.614217    0.735111
     2.21784   -0.441353   0.0131721    0.674429     0.78802
     2.22893   -0.449694   0.0197442    0.806873    0.715849
     2.24007   -0.435734   0.0147291    0.642973     0.82376
     2.25127   -0.450719  0.00952701    0.656584    0.782438
     2.26253   -0.446403   0.0133649    0.626923    0.850779
     2.27384   -0.430693   0.0123436    0.690847    0.698086
     2.28521   -0.354023    0.018326    0.897996    0.546652
     2.29664   -0.367983   0.0243222      1.0227    0.343166
     2.30812    -0.34778   0.0180668     1.04406   0.0597012
     2.31966   -0.328095   0.0189476     1.05645   0.0167603
     2.33126   -0.342945   0.0223442    0.955111    0.536353
     2.34291   -0.333019   0.0314272     1.00606    0.470158
     2.35463   -0.343047   0.0316143    0.831188    0.796663
      2.3664   -0.457033    0.013521    0.564837    0.796727
     2.37823    -0.30908   0.0180928    0.980072    0.152833
     2.39012   -0.285602   0.0228593    0.830591   0.0704683
     2.40208    -0.31045   0.0217426    0.879022    0.150527
     2.41409   -0.326344   0.0363641     1.10241    0.152813
     2.42616   -0.307909   0.0197146    0.948861   0.0508959
     2.43829    -0.29511   0.0235122    0.864518    0.133898
     2.45048   -0.386925   0.0242776     1.09448   0.0961923
     2.46273   -0.354958   0.0183023      1.0748    0.170385
     2.47504   -0.368854   0.0206516     1.01435    0.327247
     2.48742   -0.310824    0.036565     1.06927    0.413537
     2.49986   -0.321762   0.0179791    0.959125    0.350028
     2.51236   -0.368167   0.0194759     1.00859    0.183894
     2.52492   -0.292396   0.0292989     1.02741    0.301852
     2.53754   0.0431311    0.068547     1.27409    0.482645
     2.55023   -0.302499   0.0311054     1.03524    0.397303
     2.56298   -0.345968   0.0193199    0.992906   0.0530097
      2.5758   -0.342294   0.0203402    0.993869    0.172405
     2.58868   -0.389407   0.0228253     1.03302    0.229667
     2.60162   -0.320573   0.0206081     1.01767    0.253337
     2.61463   -0.363005   0.0251361     1.07072    0.232688
      2.6277   -0.284016   0.0274442     1.12838    0.126283
     2.64084    -0.34956   0.0217141    0.956223    0.381249
     2.65404   -0.357075   0.0197513    0.943368    0.300085
     2.66731   -0.389664   0.0126101    0.709345    0.649055
     2.68065   -0.463803  0.00803359    0.621523    0.785894
     2.69405   -0.413005   0.0118142    0.690578    0.739961
     2.70752    -0.27415   0.0190422    0.659701    0.488024
     2.72106    -0.34941   0.0221135    0.945516    0.228782
     2.73467   -0.243932   0.0259892    0.795354    0.459876
     2.74834   -0.336593   0.0281346    0.897231    0.507405
     2.76208   -0.333329   0.0220243    0.992895    0.288733
     2.77589   -0.373223   0.0412784     1.10446    0.150376
     2.78977   -0.319745   0.0378703     0.96631    0.385055
     2.80372   -0.372594   0.0211726     1.06502    0.278126
     2.81774   -0.393667   0.0181274    0.863376    0.545504
     2.83183   -0.373023    0.020785    0.885275     0.48009
     2.84599   -0.334222   0.0273698    0.978793    0.482652
     2.86022   -0.250245   0.0335908     1.13206    0.449841
     2.87452   -0.392101   0.0199648     1.05421    0.233159
     2.88889   -0.343581   0.0227831    0.901341    0.615158
     2.90333   -0.324104   0.0180699    0.997445    0.141594
     2.91785   -0.217122    0.021005    0.879104   0.0318297
     2.93244   -0.286427   0.0339007     1.22565    0.045616
      2.9471   -0.267487     0.04524     1.23942   0.0921752
     2.96184   -0.334583   0.0289344    0.982462    0.404606
     2.97665   -0.292961   0.0181372    0.736591     0.49098
     2.99153   -0.473884  0.00939169    0.599722    0.781457
     3.00649   -0.425571   0.0109907    0.589662    0.726107
     3.02152   -0.468903   0.0122873     0.58112    0.856417
     3.03663   -0.449204  0.00909634    0.619815     0.82687
     3.05181   -0.485837  0.00986685    0.593824     0.79152
     3.06707   -0.447805   0.0158863    0.552173    0.740668
      3.0824   -0.480506  0.00758612    0.646912    0.814344
     3.09782   -0.466015   0.0100743    0.614605    0.835878
     3.11331    -0.28721   0.0281111     1.07882   0.0828053
     3.12887   -0.463918   0.0112771    0.639344    0.862567
     3.14452   -0.464326  0.00926806    0.673253    0.828017
     3.16024   -0.443574  0.00831677     0.63391     0.75654
     3.17604   -0.369578   0.0161572    0.751298    0.619722
     3.19192   -0.454191  0.00914153    0.612684    0.843435
     3.20788   -0.454407   0.0144538    0.718792    0.739137
     3.22392   -0.357152   0.0210108    0.886106    0.414296
     3.24004   -0.466447  0.00910725    0.624692    0.827904
     3.25624   -0.444996   0.0131192    0.686961     0.80093
     3.27252   -0.294779   0.0157795    0.566064     0.95264
     3.28888    -0.37789   0.0184553    0.832436    0.635327
     3.30533   -0.354608    0.027776     1.13478   0.0993846
     3.32185   -0.373542   0.0230702    0.896468     0.58335
     3.33846   -0.436765   0.0118609     0.68369    0.692899
     3.35516   -0.425609   0.0140973    0.726196    0.766291
     3.37193   -0.475536  0.00809513    0.641219      0.7678
     3.38879   -0.481867  0.00768259    0.661703    0.794847
     3.40574   -0.447585  0.00992937    0.664889    0.712166
     3.42276   -0.347536   0.0165796    0.848305    0.541631
     3.43988   -0.290393   0.0286108     1.08016   0.0633349
     3.45708   -0.332062    0.021231     1.01851    0.202327
     3.47436   -0.291613   0.0238549     0.94222    0.169693
     3.49173   -0.354875    0.020694    0.850189    0.479712
     3.50919   -0.459436    0.011158    0.618044    0.820932
     3.52674   -0.449738  0.00943448    0.610498    0.729223
     3.54437    -0.42555   0.0110581    0.607296    0.706868
     3.56209    -0.18175   0.0511574     1.10141    0.640665
     3.57991   -0.312244   0.0220527    0.932706    0.304369
      3.5978   -0.344615   0.0312439     1.13379     0.35076
     3.61579   -0.318161   0.0232846     1.05447    0.127955
     3.63387   -0.284243   0.0401947     1.15196    0.251912
     3.65204     -0.3757   0.0231462     1.10809      0.0314
      3.6703   -0.347788   0.0152457    0.572059    0.625342
     3.68865   -0.466467   0.0142262    0.568299    0.851001
      3.7071   -0.398928   0.0144828    0.771994    0.636129
     3.72563   -0.363767   0.0192058     0.74217    0.579415
     3.74426   -0.387447   0.0241098     0.92861    0.650705
     3.76298     -0.4551   0.0182551    0.541865     0.83744
      3.7818    -0.47484  0.00898028    0.602681    0.776627
     3.80071   -0.440873  0.00843667    0.616005    0.808372
     3.81971   -0.356394   0.0172484    0.540947    0.686573
     3.83881    -0.43273   0.0125688    0.658681    0.678511
       3.858   -0.453121  0.00939068    0.629115    0.812844
     3.87729   -0.455244  0.00810282     0.63671    0.756891
     3.89668   -0.373606   0.0227456    0.893117    0.565314
     3.91616   -0.443222   0.0116582     0.71152    0.735196
     3.93574   -0.470744   0.0115376    0.724973    0.701394
     3.95542   -0.468229    0.010188    0.588553    0.805808
      3.9752   -0.317214   0.0184526    0.836035    0.416064
     3.99507   -0.379157   0.0137254    0.706248    0.642417
     4.01505   -0.343481   0.0181526     0.93532   0.0837512
     4.03513   -0.352942   0.0180616    0.899692    0.526431
      4.0553   -0.248945   0.0209486    0.910217 0.000229685
     4.07558   -0.363765   0.0214745    0.889264    0.543328
     4.09596   -0.450393   0.0156342     0.67849    0.902067
     4.11644    -0.35292   0.0294483    0.852479    0.839145
     4.13702   -0.459912  0.00894628    0.642918    0.796511
      4.1577   -0.448263   0.0154748    0.761978     0.79175
     4.17849   -0.325766    0.027155    0.884048    0.602344
     4.19938   -0.359581   0.0231528     1.01127    0.259214
     4.22038   -0.360827   0.0303982     1.05407    0.468472
     4.24148   -0.444262   0.0129126    0.677435    0.735822
     4.26269   -0.451942   0.0127773    0.749516    0.690385
       4.284    -0.48061   0.0090067     0.62381    0.878826
