#T           <H>          error         SIGMA         MU 
     92.5004   -0.492712  0.00658714    0.662888    0.836787
     92.9629   -0.508883   0.0111831    0.583968    0.810318
     93.4278   -0.493104   0.0111273     0.58113    0.789276
     93.8949   -0.487059  0.00837187    0.636466    0.784806
     94.3644   -0.509278   0.0135726    0.571067    0.849898
     94.8362   -0.488179  0.00942329     0.61138    0.781138
     95.3104   -0.493832   0.0156376    0.554726      0.7676
     95.7869   -0.494124  0.00690414    0.628884    0.815998
     96.2659   -0.488695  0.00944974    0.619654    0.844678
     96.7472   -0.491387    0.009968    0.619294    0.722786
     97.2309   -0.487684  0.00802277    0.633848    0.836437
     97.7171   -0.493316  0.00865676    0.607647    0.809811
     98.2057   -0.487446   0.0108561    0.586192    0.777097
     98.6967     -0.4918  0.00656392    0.641478    0.807497
     99.1902   -0.481925    0.018634    0.540425    0.791799
     99.6861   -0.500162   0.0139972    0.562999     0.80235
     100.185   -0.493671   0.0121938      0.5768    0.822722
     100.685   -0.501921   0.0156241    0.559562     0.69347
     101.189   -0.494202  0.00827727    0.615701    0.809902
     101.695   -0.498259  0.00936413    0.600655    0.827739
     102.203   -0.504637   0.0156311    0.552477    0.734792
     102.714   -0.488526  0.00804832    0.610743    0.807107
     103.228   -0.501751   0.0126317    0.573737    0.745533
     103.744   -0.484229  0.00672772    0.640507    0.793037
     104.263   -0.486642  0.00783003    0.627363    0.777907
     104.784   -0.491029   0.0089468    0.605608    0.820099
     105.308   -0.495594  0.00883407      0.6668    0.850929
     105.835   -0.504663  0.00904919    0.608951    0.818794
     106.364   -0.494879  0.00936507    0.608248    0.855287
     106.896   -0.490265   0.0104324    0.606984    0.789318
      107.43   -0.496379   0.0112316    0.584588    0.771251
     107.967    -0.50297   0.0114034    0.583286    0.822416
     108.507   -0.498568   0.0218618    0.525204    0.796747
      109.05   -0.490108   0.0109072    0.585672    0.769022
     109.595    -0.49497   0.0109609    0.683977    0.806855
     110.143   -0.489684   0.0131028    0.574929    0.845656
     110.693   -0.498671  0.00931384    0.616778    0.742789
     111.247   -0.514048   0.0150399    0.563412    0.821867
     111.803   -0.484087  0.00898196    0.636863    0.844794
     112.362   -0.493531  0.00737032    0.624247    0.802437
     112.924    -0.49764   0.0100529     0.59819    0.836032
     113.489   -0.499707   0.0127825    0.580109    0.858294
     114.056   -0.494129   0.0115265    0.582169    0.801586
     114.626   -0.497334   0.0116987    0.712693     0.87371
     115.199   -0.490193  0.00999342     0.59583    0.813244
     115.775   -0.489822   0.0100661    0.605132    0.727002
     116.354   -0.490465   0.0115844    0.579313    0.808942
     116.936   -0.488943  0.00886402    0.624018    0.764318
     117.521   -0.493793  0.00867629    0.641344    0.808963
     118.108   -0.486726  0.00991073    0.611385    0.781634
     118.699   -0.483073   0.0102311    0.591508    0.790122
     119.292    -0.50322  0.00815846    0.609943    0.794203
     119.889   -0.491452  0.00719707    0.667433     0.83103
     120.488   -0.501388   0.0099572    0.594343    0.813684
     121.091   -0.486956  0.00759393    0.659604    0.815981
     121.696   -0.496091   0.0118378    0.578577    0.777354
     122.305   -0.494198  0.00831925    0.610004    0.824853
     122.916   -0.499512  0.00973305    0.599213    0.837055
     123.531   -0.493243  0.00886611    0.611529    0.767584
     124.148   -0.500052  0.00877611    0.669337    0.830411
     124.769   -0.498851   0.0139637    0.564049    0.750842
     125.393    -0.50198   0.0145338    0.561212    0.796909
      126.02    -0.50095   0.0065556    0.659908     0.81181
      126.65    -0.48717  0.00643261    0.641962    0.794946
     127.283    -0.48971  0.00704161    0.625605    0.800624
      127.92   -0.492148   0.0126089     0.57432    0.738599
     128.559   -0.488307  0.00838243     0.64811    0.794778
     129.202   -0.500672  0.00677402    0.636742    0.818783
     129.848   -0.494249  0.00799338    0.614657     0.76514
     130.497   -0.503093   0.0137078    0.567109    0.779735
      131.15   -0.501061   0.0101544    0.594191    0.775284
     131.806   -0.493184   0.0128881    0.578517     0.85174
     132.465   -0.489987   0.0139994    0.598066    0.851826
     133.127   -0.498634   0.0167339    0.549832    0.825592
     133.793   -0.498316  0.00834566    0.661811    0.795267
     134.462   -0.509259   0.0107484    0.586252    0.801539
     135.134   -0.502931   0.0147887     0.56147    0.813379
      135.81   -0.492374  0.00945692    0.600949    0.820074
     136.489   -0.506867   0.0100702    0.596906    0.810305
     137.171   -0.496356  0.00695731    0.674713    0.799623
     137.857   -0.493158  0.00676024    0.636445    0.790385
     138.546   -0.496199  0.00700511    0.637544    0.837792
     139.239   -0.494127  0.00916598    0.620724    0.814204
     139.935    -0.49495   0.0092188     0.61714    0.880189
     140.635    -0.49962   0.0149191    0.567505    0.857928
     141.338   -0.500534  0.00878889    0.614393    0.843957
     142.045   -0.492003    0.010657    0.595167    0.836722
     142.755   -0.498324   0.0127963    0.732171    0.806363
     143.469    -0.51304   0.0109253    0.595777    0.859957
     144.186   -0.494984  0.00900092    0.605585    0.847114
     144.907   -0.511275   0.0153891    0.554259    0.744473
     145.632   -0.497242   0.0119276    0.575976    0.783433
      146.36   -0.502779   0.0110157    0.588287    0.819786
     147.091    -0.51315  0.00922491    0.600744    0.787503
     147.827    -0.49626   0.0105741    0.587797    0.791992
     148.566   -0.488572  0.00797276    0.617989    0.772121
     149.309   -0.488583   0.0101765    0.596573    0.816043
     150.055   -0.506018  0.00997163    0.593714    0.807688
     150.806   -0.495706   0.0111578    0.583249    0.792077
      151.56   -0.504641   0.0103115    0.602874    0.863062
     152.318   -0.493911  0.00957289    0.605308    0.833235
     153.079   -0.496806   0.0216944    0.524071    0.788813
     153.845   -0.510827   0.0138508    0.566402    0.840738
     154.614   -0.489575  0.00779388     0.62873    0.776902
     155.387   -0.492093  0.00890801    0.600382    0.805992
     156.164   -0.498441   0.0121154    0.581549    0.834464
     156.945   -0.492314  0.00775466    0.669945    0.833195
     157.729   -0.485082  0.00813418    0.622761    0.838266
     158.518   -0.503811   0.0103162    0.592003    0.789873
     159.311    -0.52104   0.0129559    0.571131    0.765308
     160.107   -0.489398  0.00746684    0.632153    0.848344
     160.908   -0.499792  0.00956338     0.59826    0.796015
     161.712   -0.490327   0.0104905    0.592753    0.808384
     162.521   -0.495891   0.0170642    0.546627    0.759271
     163.333   -0.502738   0.0069919    0.676853    0.803816
      164.15   -0.501088    0.013909    0.563457    0.745996
     164.971   -0.495478  0.00845176    0.659025    0.757373
     165.796    -0.49911  0.00981868    0.597886    0.832856
     166.625   -0.510905   0.0118248    0.585936    0.742472
     167.458   -0.503637  0.00898845    0.601215    0.820761
     168.295   -0.495814  0.00842036    0.609639    0.799173
     169.136      -0.501    0.010117    0.593252    0.798735
     169.982   -0.497529   0.0108364    0.587865    0.819385
     170.832   -0.491281  0.00853763    0.603829    0.791847
     171.686   -0.493934  0.00941921    0.622653    0.755454
     172.545   -0.509692   0.0102456    0.591039    0.819135
     173.407   -0.496818   0.0096813     0.61552    0.831965
     174.274   -0.489787  0.00809577    0.614675    0.846452
     175.146   -0.492315   0.0103484    0.592131     0.78289
     176.022   -0.490655  0.00684497    0.654682    0.825159
     176.902    -0.49976  0.00735531    0.643545    0.851673
     177.786   -0.493186   0.0105743    0.586187    0.761452
     178.675   -0.490502  0.00883079    0.649816    0.829738
     179.568   -0.501103   0.0142751    0.570702     0.85686
     180.466   -0.495077    0.012419    0.573557    0.772112
     181.369   -0.503596  0.00800033     0.60901    0.817744
     182.275    -0.50464  0.00756069    0.652955    0.812049
     183.187   -0.500695  0.00794247    0.613331    0.818657
     184.103   -0.489967  0.00797545    0.613086    0.827432
     185.023   -0.495847  0.00922877    0.621112    0.844205
     185.948   -0.498166   0.0111747    0.586665    0.754839
     186.878   -0.502611  0.00766628    0.620082    0.807309
     187.813   -0.492417  0.00800074    0.632154    0.784525
     188.752    -0.49367  0.00825341    0.622756    0.833631
     189.695   -0.488432  0.00918151    0.604275    0.820919
     190.644   -0.515463   0.0148197    0.560367    0.738239
     191.597   -0.501893  0.00769549    0.672547    0.846733
     192.555   -0.504348  0.00725248    0.684792    0.829469
     193.518   -0.507402    0.012211    0.575057    0.777312
     194.485   -0.508185   0.0118498    0.579915    0.811654
     195.458    -0.50094  0.00871527    0.605911    0.800952
     196.435   -0.503773   0.0080185    0.615148    0.794599
     197.417   -0.497097  0.00767485    0.619524    0.828873
     198.404   -0.497368  0.00848429    0.607334    0.802971
     199.396   -0.506242   0.0103935    0.591575    0.794283
     200.393   -0.498891  0.00907366    0.706338    0.834817
     201.395   -0.511925  0.00743419    0.660947    0.881341
     202.402    -0.50584  0.00904815    0.613737    0.833151
     203.414   -0.490999  0.00828839    0.611375     0.81299
     204.431   -0.506902   0.0188645    0.538092    0.792738
     205.454   -0.494562  0.00963871    0.602843    0.801946
     206.481    -0.49297   0.0120999    0.577383    0.756121
     207.513   -0.497031  0.00951619    0.621437    0.851551
     208.551   -0.506775   0.0102198    0.593891    0.765296
     209.594   -0.496835   0.0083923    0.611459    0.778998
     210.642   -0.515325   0.0238931    0.517597    0.827815
     211.695   -0.500274    0.015537    0.558795     0.80604
     212.753   -0.489174   0.0104765    0.670311    0.762089
     213.817   -0.501119  0.00872897    0.614246    0.817739
     214.886   -0.493119  0.00749336    0.633128    0.830704
      215.96    -0.49581  0.00956803     0.60498    0.823304
      217.04   -0.506649    0.011317     0.59436    0.833462
     218.126   -0.505207    0.014782    0.560409    0.747769
     219.216   -0.495312   0.0111936    0.584089    0.791985
     220.312   -0.498371   0.0151384    0.558845    0.710879
     221.414   -0.499547  0.00931771    0.608772    0.834079
     222.521   -0.498668   0.0119646    0.582437    0.829716
     223.633   -0.508932  0.00846283    0.611847    0.799065
     224.752   -0.497674  0.00761069    0.616516    0.800272
     225.875   -0.500558    0.012042    0.575982    0.774022
     227.005   -0.507588   0.0106733    0.585857    0.788414
      228.14   -0.491563  0.00842311    0.689293      0.8445
      229.28   -0.503326   0.0111116    0.586341    0.811758
     230.427   -0.497725  0.00827839    0.616152    0.814564
     231.579   -0.493085    0.011916    0.579265    0.829423
     232.737   -0.501588  0.00893048    0.603329    0.811129
     233.901   -0.496713   0.0109925    0.585038    0.809416
      235.07    -0.49368   0.0134132    0.567638    0.815779
     236.245   -0.494394  0.00944951    0.603811    0.821929
     237.427   -0.513462   0.0170615    0.550915    0.827597
     238.614    -0.49939   0.0123007    0.571061     0.78116
     239.807    -0.49819   0.0170188    0.547994    0.759018
     241.006   -0.501887   0.0122391     0.58985    0.832961
     242.211   -0.495181   0.0128168    0.574739    0.827862
     243.422   -0.494921   0.0080381    0.693823    0.783415
     244.639   -0.497037   0.0152864    0.554596    0.748456
     245.862   -0.508699   0.0129239    0.568885    0.770115
     247.092   -0.514909   0.0159697     0.55441    0.814097
     248.327   -0.495148   0.0126068    0.573786    0.802336
     249.569   -0.513739   0.0159932    0.553119    0.786477
     250.817   -0.496051   0.0135756    0.566613    0.797517
     252.071   -0.496066   0.0153339    0.555296    0.816218
     253.331   -0.496537  0.00941544     0.61129     0.84086
     254.598   -0.506503   0.0116716    0.580379    0.797823
     255.871   -0.500672  0.00971665    0.592324    0.771483
      257.15   -0.502371   0.0100331      0.5963     0.83312
     258.436    -0.50228   0.0118231    0.577798    0.779396
     259.728    -0.49692   0.0108557    0.585157    0.776201
     261.027   -0.504939    0.013222     0.56756    0.811563
     262.332   -0.502802  0.00920619    0.601084    0.801427
     263.643   -0.491927  0.00797475    0.614664    0.804626
     264.962   -0.494326   0.0112714    0.590878     0.84791
     266.286   -0.502038   0.0104479     0.58963    0.783018
     267.618   -0.499599   0.0154771    0.558788    0.763471
     268.956   -0.494159  0.00884421    0.605551    0.781782
     270.301   -0.494782  0.00982513     0.59627    0.800163
     271.652   -0.501903   0.0070165    0.653166    0.818646
      273.01   -0.504892   0.0108442    0.597527    0.815809
     274.375   -0.525325    0.021918    0.522681    0.762265
     275.747   -0.499112  0.00714938    0.649337    0.835018
     277.126   -0.500913  0.00864429    0.604068    0.815545
     278.512   -0.496351  0.00662659     0.63689    0.824884
     279.904   -0.500019   0.0137405    0.569989    0.833398
     281.304   -0.503346   0.0108536    0.589623    0.795464
      282.71   -0.504418   0.0143461    0.569507    0.862089
     284.124   -0.494412  0.00981783    0.615537    0.773311
     285.544    -0.49305  0.00869031    0.623525    0.837055
     286.972   -0.492204  0.00742088    0.660998    0.848738
     288.407    -0.50928   0.0104032    0.593693    0.822827
     289.849    -0.49506   0.0149538    0.556383    0.788408
     291.298   -0.501813  0.00886256    0.642578    0.729821
     292.755    -0.49489  0.00751448    0.637612    0.798888
     294.219    -0.49649   0.0103212     0.59044    0.787583
      295.69   -0.502626  0.00852767    0.608752    0.793921
     297.168   -0.491618  0.00682776    0.639171    0.826692
     298.654   -0.496647   0.0138347    0.565641    0.780839
     300.147   -0.502787  0.00928798    0.686487    0.783949
     301.648   -0.506185  0.00769854    0.636966    0.808422
     303.156   -0.500455   0.0113209    0.591456    0.806175
     304.672   -0.498406   0.0084773    0.607667    0.782854
     306.195   -0.508806   0.0121052    0.582861    0.854456
     307.726   -0.491765  0.00990921    0.599697    0.849146
     309.265   -0.498352  0.00746553    0.637317    0.805232
     310.811   -0.498056   0.0104075    0.589929    0.778111
     312.365   -0.506916   0.0105965    0.586138    0.793324
     313.927    -0.49623   0.0113541      0.5817     0.77625
     315.497   -0.494156   0.0106247    0.593691    0.811098
     317.074   -0.499012  0.00896529    0.607099    0.769302
      318.66   -0.493807  0.00791101    0.658011    0.842945
     320.253   -0.504379  0.00775561    0.672792    0.803238
     321.854   -0.505996  0.00678506    0.651202     0.80253
     323.464   -0.496786   0.0119207    0.578772    0.761338
     325.081   -0.499357   0.0105228    0.594499    0.827895
     326.706   -0.497102  0.00702008    0.652453    0.872709
      328.34   -0.496463  0.00706424    0.635034    0.826396
     329.981   -0.505827   0.0134148    0.568154    0.763711
     331.631   -0.508504   0.0218522    0.522659    0.761465
      333.29   -0.495314   0.0078823    0.671878    0.854598
     334.956   -0.503233    0.011675    0.581282    0.814647
     336.631   -0.497336  0.00902383    0.607367    0.788924
     338.314   -0.500382  0.00603654    0.656771    0.859481
     340.005   -0.497716  0.00879672    0.615666    0.804098
     341.706   -0.502338   0.0107943    0.590804    0.804772
     343.414   -0.493861   0.0102876    0.701026    0.847572
     345.131   -0.514554   0.0184762    0.540329    0.732158
     346.857   -0.498014   0.0133593    0.571953    0.862581
     348.591   -0.494661  0.00948638    0.603815    0.809468
     350.334    -0.51947   0.0292098    0.499124    0.799438
     352.086   -0.498381  0.00716424    0.626032    0.839016
     353.846   -0.501229   0.0102418    0.610046    0.723889
     355.615   -0.502936  0.00958494     0.60285    0.856441
     357.393   -0.514325    0.015598    0.557274    0.831457
      359.18   -0.507874   0.0104873    0.589628     0.81429
     360.976   -0.534318   0.0126991    0.574021    0.803559
     362.781   -0.504352  0.00944123    0.599757    0.802224
     364.595   -0.499579   0.0146943     0.55814     0.79489
     366.418   -0.504356   0.0113566    0.582698    0.765145
      368.25   -0.494128  0.00695248    0.642464    0.771232
     370.091   -0.497356  0.00881031    0.619613    0.831643
     371.942   -0.505382  0.00692404    0.655532    0.833683
     373.802   -0.510348  0.00907683    0.603184    0.828637
     375.671   -0.495911    0.008736    0.608785    0.815145
     377.549   -0.497872  0.00749146    0.683372    0.866832
     379.437   -0.506579  0.00709597    0.661842    0.827162
     381.334   -0.495174   0.0123619    0.576426    0.795734
     383.241   -0.502533   0.0136015    0.564626    0.777671
     385.157    -0.50314   0.0129641    0.570619    0.796354
     387.083   -0.503605   0.0198726    0.536032    0.851323
     389.018   -0.500268   0.0173056    0.549063    0.732021
     390.963    -0.49927    0.020251    0.533054    0.765262
     392.918   -0.499556    0.010907    0.588687    0.814369
     394.882   -0.495567    0.012048    0.578901    0.734069
     396.857   -0.498841  0.00965297    0.598329    0.804474
     398.841   -0.497882  0.00756801    0.627625    0.811883
     400.835   -0.497156    0.010312    0.605032    0.835403
     402.839    -0.50009    0.012827    0.573481     0.81283
     404.854   -0.503999  0.00970394      0.6024    0.836772
     406.878   -0.493407  0.00920275    0.663505    0.822221
     408.912   -0.497276  0.00799028     0.61562    0.859655
     410.957   -0.504798   0.0130139     0.56831    0.808693
     413.012   -0.498767  0.00846093    0.611859    0.794702
     415.077   -0.507459   0.0109913    0.585232     0.76902
     417.152   -0.507413   0.0162057       0.551    0.766355
     419.238   -0.508118    0.012381    0.580433    0.846233
     421.334   -0.499517   0.0148683    0.561436    0.741614
     423.441   -0.509341  0.00722243    0.690217    0.821331
     425.558   -0.503394   0.0154744    0.557059    0.811469
     427.686   -0.507537   0.0134866    0.566124    0.752341
     429.824   -0.511007   0.0122582    0.575791    0.794235
     431.973   -0.503005   0.0128959    0.572052    0.800512
     434.133   -0.502266  0.00821539    0.609947    0.790382
