   #BLOCK      # VELOCITY:     AVE_POFV:        ERROR:
          10     3.66667    0.135312   0.0410833   0.0112449
          10         3.8   0.0248958   0.0254306  0.00788061
          10     3.93333   0.0129514   0.0183819  0.00445024
          11   0.0666667  0.00427083  0.00936869  0.00439342
          11         0.2   0.0152083   0.0217109  0.00496459
          11    0.333333   0.0955208   0.0706345   0.0115434
          11    0.466667   0.0936806     0.11607  0.00897858
          11         0.6    0.233819    0.181843   0.0127826
          11    0.733333    0.215278    0.211326   0.0130434
          11    0.866667    0.254097    0.276831   0.0157961
          11           1    0.269271    0.363087   0.0196706
          11     1.13333    0.296493    0.403554   0.0164037
          11     1.26667    0.494583    0.444754   0.0274953
          11         1.4    0.640174    0.498384   0.0256335
          11     1.53333    0.508681     0.58923   0.0198542
          11     1.66667    0.526875    0.534299   0.0286785
          11         1.8    0.605174    0.494624   0.0241706
          11     1.93333    0.468021    0.451692   0.0226502
          11     2.06667    0.398194     0.42233   0.0107652
          11         2.2     0.37625    0.380028   0.0258722
          11     2.33333    0.330035    0.317364   0.0146116
          11     2.46667    0.298646    0.310294   0.0265138
          11         2.6    0.250347    0.261717   0.0157531
          11     2.73333    0.281146    0.258419   0.0175817
          11     2.86667    0.240104    0.197951   0.0151251
          11           3    0.183194    0.179908   0.0077035
          11     3.13333    0.141042    0.136465   0.0146583
          11     3.26667   0.0674653    0.101484   0.0178031
          11         3.4     0.04625   0.0831029  0.00932228
          11     3.53333   0.0425347   0.0505556  0.00786286
          11     3.66667   0.0768056   0.0443308   0.0106812
          11         3.8   0.0188194   0.0248295  0.00718707
          11     3.93333   0.0170833   0.0182639  0.00404723
          12   0.0666667  0.00774306  0.00923322  0.00402939
          12         0.2  0.00979167   0.0207176  0.00464918
          12    0.333333   0.0486458   0.0688021   0.0107259
          12    0.466667    0.122639    0.116617  0.00824704
          12         0.6    0.185694    0.182164   0.0117214
          12    0.733333    0.249444    0.214502   0.0123372
          12    0.866667    0.310313    0.279621   0.0147241
          12           1    0.295347    0.357442    0.018824
          12     1.13333    0.508958    0.412338   0.0172286
          12     1.26667    0.427361    0.443304   0.0252422
          12         1.4    0.416076    0.491525   0.0243978
          12     1.53333    0.429375    0.575909   0.0222237
          12     1.66667    0.571632     0.53741   0.0264568
          12         1.8    0.547222    0.499008   0.0225503
          12     1.93333    0.467569    0.453015   0.0208013
          12     2.06667    0.413889    0.421626  0.00989109
          12         2.2    0.396979    0.381441   0.0237547
          12     2.33333    0.409965    0.325081   0.0152966
          12     2.46667    0.383021    0.316354   0.0249874
          12         2.6    0.235104    0.259499   0.0145956
          12     2.73333    0.200868    0.253623   0.0167579
          12     2.86667    0.233819     0.20094   0.0141569
          12           3    0.191667    0.180888  0.00712358
          12     3.13333    0.138438    0.136629   0.0134377
          12     3.26667   0.0810417   0.0997801   0.0164008
          12         3.4   0.0451736   0.0799421  0.00906544
          12     3.53333   0.0692361   0.0521123  0.00736011
          12     3.66667   0.0395833   0.0439352  0.00979845
          12         3.8   0.0356944    0.025735  0.00664493
          12     3.93333   0.0128125   0.0178096  0.00373537
          13   0.0666667   0.0185764  0.00995192  0.00378299
          13         0.2   0.0115625   0.0200134  0.00434456
          13    0.333333   0.0643403   0.0684589  0.00990635
          13    0.466667    0.160208    0.119971  0.00826626
          13         0.6   0.0882292    0.174939   0.0128555
          13    0.733333    0.182083    0.212009   0.0116375
          13    0.866667    0.139514    0.268843   0.0170865
          13           1    0.232569    0.347837   0.0196747
          13     1.13333    0.511389    0.419957   0.0175073
          13     1.26667    0.492535    0.447091   0.0235828
          13         1.4      0.5125    0.493138   0.0225743
          13     1.53333    0.584201    0.576546   0.0205234
          13     1.66667    0.480208     0.53301   0.0247849
          13         1.8    0.653576    0.510897   0.0237442
          13     1.93333    0.495035    0.456247   0.0194507
          13     2.06667    0.400208    0.419979  0.00926644
          13         2.2    0.336806    0.378007   0.0221742
          13     2.33333    0.378542    0.329193   0.0146623
          13     2.46667    0.371632    0.320606   0.0234243
          13         2.6    0.342882    0.265913   0.0148153
          13     2.73333    0.338264    0.260134   0.0166858
          13     2.86667    0.274306    0.206584   0.0141481
          13           3    0.217639    0.183715  0.00711447
          13     3.13333   0.0911111    0.133128   0.0128521
          13     3.26667   0.0272569   0.0942014     0.01606
          13         3.4  0.00708333   0.0743376  0.00995086
          13     3.53333   0.0807639   0.0543162  0.00711629
          13     3.66667  0.00697917   0.0410924  0.00944811
          13         3.8           0   0.0237553  0.00642189
          13     3.93333           0   0.0164396  0.00369072
          14   0.0666667 0.000208333  0.00925595  0.00357622
          14         0.2  0.00229167   0.0187475  0.00421461
          14    0.333333   0.0889236   0.0699206  0.00930597
          14    0.466667    0.134132    0.120982  0.00773746
          14         0.6     0.15375    0.173425    0.012026
          14    0.733333    0.178924    0.209645   0.0110436
          14    0.866667    0.233715    0.266334   0.0160492
          14           1    0.385174    0.350503   0.0184492
          14     1.13333    0.461146    0.422899   0.0165021
          14     1.26667    0.525069    0.452661   0.0225465
          14         1.4    0.506146    0.494067    0.020981
          14     1.53333     0.52184    0.572639   0.0194259
          14     1.66667    0.367639    0.521198   0.0256755
          14         1.8    0.453299    0.506783   0.0224018
          14     1.93333    0.455417    0.456188   0.0180614
          14     2.06667    0.401424    0.418653  0.00869881
          14         2.2    0.311944    0.373289   0.0210864
          14     2.33333    0.512361    0.342277   0.0185558
          14     2.46667    0.326389    0.321019   0.0217548
          14         2.6    0.356563    0.272388   0.0151059
          14     2.73333    0.407049    0.270627   0.0185019
          14     2.86667    0.323681    0.214948   0.0154128
          14           3    0.147535    0.181131  0.00706009
          14     3.13333   0.0658681    0.128323   0.0128006
          14     3.26667   0.0686806   0.0923785    0.015016
          14         3.4   0.0179861   0.0703125   0.0100211
          14     3.53333   0.0171528   0.0516617  0.00708581
          14     3.66667   0.0195833   0.0395561  0.00889728
          14         3.8   0.0339931   0.0244866  0.00600468
          14     3.93333   0.0161806   0.0164211  0.00342714
          15   0.0666667  0.00565972   0.0090162  0.00334584
          15         0.2   0.0331944   0.0197106  0.00404218
          15    0.333333    0.112431   0.0727546  0.00910688
          15    0.466667    0.125347    0.121273   0.0072271
          15         0.6    0.148715    0.171778   0.0113365
          15    0.733333    0.261667    0.213113   0.0108382
          15    0.866667    0.354132    0.272187    0.016011
          15           1    0.487187    0.359616   0.0193391
          15     1.13333     0.43184    0.423495   0.0154127
          15     1.26667    0.245729    0.438866   0.0249089
          15         1.4    0.534062    0.496734   0.0197509
          15     1.53333     0.44066     0.56384   0.0200245
          15     1.66667    0.434271    0.515403   0.0246091
          15         1.8    0.305313    0.493352   0.0246076
          15     1.93333    0.358333    0.449664   0.0179969
          15     2.06667    0.379479    0.416042  0.00850189
          15         2.2    0.425972    0.376801    0.019971
          15     2.33333    0.545069    0.355796   0.0216917
          15     2.46667    0.347083    0.322757   0.0203737
          15         2.6    0.340347    0.276919   0.0147626
          15     2.73333    0.262604    0.270093   0.0172762
          15     2.86667        0.24    0.216618   0.0144755
          15           3    0.236736    0.184838  0.00749974
          15     3.13333    0.124132    0.128044   0.0119503
          15     3.26667   0.0510764    0.089625   0.0142651
          15         3.4   0.0447569   0.0686088  0.00949679
          15     3.53333    0.053125   0.0517593  0.00661409
          15     3.66667   0.0492014   0.0401991  0.00832733
          15         3.8   0.0536111   0.0264282  0.00590995
          15     3.93333   0.0190278   0.0165949  0.00320307
          16   0.0666667 0.000173611  0.00846354  0.00318204
          16         0.2     0.02625   0.0201194  0.00381015
          16    0.333333    0.106319   0.0748524  0.00877599
          16    0.466667   0.0844792    0.118974  0.00713189
          16         0.6   0.0918403    0.166782   0.0116771
          16    0.733333    0.137917    0.208414   0.0111333
          16    0.866667     0.25125    0.270879   0.0150637
          16           1    0.268646     0.35393   0.0189478
          16     1.13333    0.479201    0.426977   0.0148375
          16     1.26667    0.504792    0.442986   0.0236904
          16         1.4    0.561354    0.500773   0.0189249
          16     1.53333    0.478472    0.558505   0.0194708
          16     1.66667     0.43934    0.510649   0.0235257
          16         1.8    0.647118    0.502962   0.0248756
          16     1.93333    0.438299    0.448954   0.0168862
          16     2.06667    0.450729     0.41821  0.00824231
          16         2.2    0.570556    0.388911   0.0220912
          16     2.33333    0.401354    0.358644    0.020522
          16     2.46667    0.366771    0.325508   0.0192852
          16         2.6    0.307083    0.278804   0.0139598
          16     2.73333    0.314271    0.272854   0.0164156
          16     2.86667   0.0997917    0.209316   0.0153019
          16           3    0.109583    0.180135  0.00837703
          16     3.13333   0.0854861    0.125384   0.0114956
          16     3.26667   0.0905556   0.0896832   0.0133737
          16         3.4   0.0367014   0.0666146  0.00911021
          16     3.53333   0.0337153   0.0506315  0.00629612
          16     3.66667   0.0229861   0.0391233  0.00787606
          16         3.8    0.018125   0.0259093  0.00556332
          16     3.93333  0.00510417   0.0158767  0.00308234
          17   0.0666667  0.00552083  0.00829044  0.00299956
          17         0.2     0.03375   0.0209212  0.00366942
          17    0.333333   0.0624306   0.0741217  0.00829012
          17    0.466667      0.1175    0.118887  0.00671289
          17         0.6    0.164097    0.166624   0.0109913
          17    0.733333    0.247326    0.210703   0.0107111
          17    0.866667    0.261285    0.270315   0.0141882
          17           1    0.298125    0.350647   0.0181153
          17     1.13333    0.271528    0.417833   0.0165441
          17     1.26667    0.303993     0.43481   0.0236657
          17         1.4    0.475486    0.499285     0.01787
          17     1.53333    0.487604    0.554334   0.0187668
          17     1.66667    0.527257    0.511626   0.0221621
          17         1.8    0.623924    0.510078   0.0244087
          17     1.93333    0.621597    0.459109   0.0186989
          17     2.06667    0.627639    0.430529   0.0142484
          17         2.2    0.415451    0.390472   0.0208469
          17     2.33333    0.298333    0.355096   0.0196191
          17     2.46667    0.303368    0.324205   0.0181947
          17         2.6    0.327257    0.281654   0.0134264
          17     2.73333    0.246771    0.271319   0.0155215
          17     2.86667    0.271528    0.212976   0.0148329
          17           3    0.190104    0.180721  0.00790476
          17     3.13333   0.0817014    0.122815   0.0111028
          17     3.26667   0.0628472   0.0881046   0.0126798
          17         3.4   0.0190972   0.0638194  0.00899289
          17     3.53333  0.00815972   0.0481332  0.00640228
          17     3.66667  0.00743056    0.037259  0.00763021
          17         3.8   0.0547569   0.0276062  0.00548876
          17     3.93333  0.00739583   0.0153779  0.00294112
          18   0.0666667  0.00142361  0.00790895  0.00285708
          18         0.2  0.00996528   0.0203125  0.00351568
          18    0.333333   0.0474653   0.0726408  0.00796073
          18    0.466667   0.0733333    0.116356  0.00680029
          18         0.6    0.235069    0.170426   0.0110188
          18    0.733333    0.189826    0.209543   0.0101787
          18    0.866667    0.310764    0.272562   0.0135768
          18           1    0.347743    0.350486   0.0171096
          18     1.13333    0.357951    0.414506    0.015956
          18     1.26667    0.376701    0.431582     0.02257
          18         1.4    0.357639    0.491416   0.0185291
          18     1.53333    0.539479    0.553509   0.0177424
          18     1.66667    0.502118    0.511098   0.0209372
          18         1.8    0.568611    0.513329   0.0232683
          18     1.93333     0.58941    0.466348   0.0190097
          18     2.06667    0.512014    0.435056   0.0141577
          18         2.2    0.532361    0.398355   0.0211265
          18     2.33333    0.322049     0.35326   0.0186148
          18     2.46667    0.376701    0.327122   0.0174161
          18         2.6    0.246215    0.279686   0.0128241
          18     2.73333    0.254965    0.270411   0.0146857
          18     2.86667    0.259063    0.215536   0.0142281
          18           3    0.112639    0.176939  0.00832146
          18     3.13333   0.0878819    0.120874   0.0106543
          18     3.26667   0.0902083   0.0882215   0.0119759
          18         3.4   0.0581597    0.063505  0.00849878
          18     3.53333   0.0319097   0.0472319  0.00610971
