#   T:  ACCEPTANCE:
        1.25    0.329487
        1.25    0.329703
        1.25    0.329639
        1.25     0.32972
        1.25    0.329883
        1.25    0.329801
        1.25    0.329965
        1.25    0.329991
        1.25    0.329922
        1.25    0.330004
        1.25    0.329999
       1.275    0.340019
       1.275    0.339087
       1.275    0.338555
       1.275    0.339011
       1.275     0.33901
       1.275    0.338997
       1.275    0.338938
       1.275    0.339005
       1.275    0.339173
       1.275    0.339086
       1.275    0.338993
       1.275    0.339273
       1.275    0.339406
       1.275    0.339306
       1.275    0.339479
       1.275    0.339536
       1.275    0.339533
       1.275    0.339519
       1.275    0.339551
       1.275     0.33946
         1.3    0.349195
         1.3    0.347125
         1.3     0.34706
         1.3    0.346666
         1.3    0.346498
         1.3    0.346832
         1.3    0.347031
         1.3    0.346887
         1.3    0.346933
         1.3    0.347072
         1.3    0.346993
         1.3    0.347078
         1.3    0.347042
         1.3    0.347102
         1.3     0.34725
         1.3    0.347352
         1.3    0.347378
         1.3    0.347432
         1.3    0.347359
         1.3    0.347295
       1.325    0.355293
       1.325    0.355482
       1.325    0.355384
       1.325     0.35538
       1.325    0.355441
       1.325    0.355955
       1.325    0.356104
       1.325    0.356075
       1.325    0.356271
       1.325    0.356333
       1.325    0.356515
       1.325    0.356436
       1.325    0.356157
       1.325    0.356227
       1.325    0.356112
       1.325    0.356175
       1.325    0.356222
       1.325    0.356151
       1.325     0.35626
       1.325    0.356276
        1.35    0.364587
        1.35    0.364689
        1.35    0.365052
        1.35    0.365187
        1.35    0.364457
        1.35    0.364433
        1.35    0.364533
        1.35    0.364487
        1.35    0.364626
        1.35     0.36494
        1.35    0.365137
        1.35    0.365056
        1.35    0.365139
        1.35    0.365087
        1.35    0.365137
        1.35    0.365193
        1.35    0.365133
        1.35    0.365065
        1.35    0.365208
        1.35    0.365203
       1.375    0.373181
       1.375    0.373592
       1.375    0.373698
       1.375     0.37355
       1.375    0.373601
       1.375    0.373418
       1.375    0.373091
       1.375    0.372805
       1.375    0.372697
       1.375    0.372725
       1.375    0.372798
       1.375     0.37287
       1.375     0.37307
       1.375     0.37307
       1.375    0.372977
       1.375    0.373068
       1.375     0.37321
       1.375    0.373239
       1.375     0.37315
       1.375    0.373055
         1.4    0.380017
         1.4    0.379889
         1.4    0.381076
         1.4    0.381474
         1.4    0.381291
         1.4    0.381186
         1.4    0.381249
         1.4    0.381229
         1.4    0.381106
         1.4    0.381091
         1.4    0.381261
         1.4    0.381305
         1.4     0.38121
         1.4    0.381246
         1.4    0.381202
         1.4    0.381227
         1.4    0.381202
         1.4     0.38116
         1.4    0.381172
         1.4    0.381189
       1.425    0.389043
       1.425    0.390564
       1.425    0.390209
       1.425    0.390522
       1.425    0.390314
       1.425    0.389892
       1.425    0.390107
       1.425     0.39006
       1.425    0.389965
       1.425    0.389759
       1.425    0.389786
       1.425    0.389556
       1.425    0.389541
       1.425    0.389478
       1.425    0.389493
       1.425    0.389438
       1.425    0.389459
       1.425    0.389568
       1.425    0.389574
       1.425      0.3896
        1.45    0.397192
        1.45    0.397095
        1.45    0.397194
        1.45    0.397649
        1.45    0.397576
        1.45    0.397566
        1.45    0.397561
        1.45    0.397437
        1.45     0.39713
        1.45    0.397111
        1.45     0.39723
        1.45    0.397069
        1.45    0.397203
        1.45     0.39731
        1.45    0.397278
        1.45    0.397194
        1.45    0.397202
        1.45    0.397227
        1.45    0.397216
        1.45     0.39723
       1.475     0.40225
       1.475     0.40298
       1.475    0.403311
       1.475    0.403398
       1.475    0.403782
       1.475    0.404014
       1.475    0.404205
       1.475    0.404257
       1.475    0.404453
       1.475    0.404489
       1.475    0.404297
       1.475    0.404284
       1.475    0.404203
       1.475    0.404398
       1.475    0.404549
       1.475    0.404609
       1.475    0.404549
       1.475     0.40448
       1.475    0.404514
       1.475    0.404516
         1.5    0.410458
         1.5    0.412512
         1.5    0.412805
         1.5     0.41282
         1.5    0.412813
         1.5     0.41254
         1.5    0.412417
         1.5    0.412333
         1.5    0.412277
         1.5    0.412237
         1.5    0.412211
         1.5    0.412237
         1.5    0.412146
         1.5    0.412287
         1.5     0.41226
         1.5    0.412367
         1.5    0.412367
         1.5    0.412278
         1.5      0.4123
         1.5    0.412265
       1.525    0.421406
       1.525    0.419934
       1.525    0.419652
       1.525    0.419946
       1.525    0.420119
       1.525    0.420017
       1.525    0.419898
       1.525    0.419579
       1.525    0.419693
       1.525    0.419675
       1.525    0.419432
       1.525    0.419472
       1.525    0.419467
       1.525     0.41945
       1.525     0.41952
       1.525    0.419425
       1.525     0.41934
       1.525     0.41945
       1.525    0.419396
       1.525    0.419309
        1.55    0.426612
        1.55    0.427165
        1.55    0.427158
        1.55    0.426629
        1.55    0.426803
        1.55    0.426824
        1.55     0.42668
        1.55     0.42684
        1.55      0.4269
        1.55    0.426784
        1.55    0.426684
        1.55     0.42687
        1.55    0.426727
        1.55     0.42668
        1.55    0.426664
        1.55    0.426623
        1.55    0.426591
        1.55    0.426626
        1.55    0.426617
        1.55    0.426624
       1.575    0.434667
       1.575      0.4336
       1.575    0.433348
       1.575    0.433267
       1.575    0.433455
       1.575    0.433478
       1.575    0.433813
       1.575    0.433655
       1.575    0.433506
       1.575    0.433496
       1.575    0.433562
       1.575    0.433606
       1.575    0.433683
       1.575    0.433607
       1.575    0.433532
       1.575    0.433516
       1.575    0.433631
       1.575    0.433687
       1.575    0.433685
       1.575    0.433729
         1.6    0.440522
         1.6     0.44003
         1.6    0.440719
         1.6    0.440656
         1.6    0.440514
         1.6    0.440315
         1.6    0.440494
         1.6    0.440563
         1.6     0.44045
         1.6    0.440447
         1.6    0.440566
         1.6    0.440512
         1.6    0.440464
         1.6    0.440314
         1.6    0.440451
         1.6    0.440522
         1.6    0.440538
         1.6    0.440583
         1.6    0.440668
         1.6     0.44057
       1.625    0.447041
       1.625    0.446796
       1.625    0.447047
       1.625    0.446806
       1.625    0.446811
       1.625    0.447034
       1.625    0.447153
       1.625    0.447304
       1.625    0.447248
       1.625     0.44743
       1.625    0.447499
       1.625    0.447518
       1.625     0.44752
       1.625    0.447572
       1.625    0.447512
       1.625    0.447544
       1.625    0.447618
       1.625    0.447585
       1.625    0.447634
       1.625    0.447601
        1.65    0.452525
        1.65    0.453031
        1.65    0.452923
        1.65    0.452968
        1.65    0.453543
        1.65    0.453657
        1.65     0.45361
        1.65    0.453577
        1.65    0.453541
        1.65    0.453387
        1.65    0.453491
        1.65    0.453577
        1.65    0.453613
        1.65    0.453692
        1.65    0.453804
        1.65    0.453734
        1.65    0.453726
        1.65    0.453649
        1.65    0.453642
        1.65    0.453687
       1.675    0.459539
       1.675    0.458932
       1.675    0.458869
       1.675    0.459259
       1.675    0.459483
       1.675    0.459438
       1.675    0.459515
       1.675    0.459705
       1.675    0.459866
       1.675    0.459813
       1.675    0.459826
       1.675    0.459937
       1.675    0.460035
       1.675    0.459985
       1.675    0.459973
       1.675    0.460062
       1.675    0.460018
       1.675    0.460093
       1.675    0.460127
       1.675    0.460131
         1.7    0.466689
         1.7    0.466924
         1.7    0.466647
         1.7    0.466927
         1.7    0.466859
         1.7    0.466792
         1.7     0.46678
         1.7    0.466857
         1.7    0.466759
         1.7     0.46687
         1.7    0.466914
         1.7    0.466974
         1.7    0.466888
         1.7    0.466877
         1.7    0.466745
         1.7    0.466819
         1.7    0.466785
         1.7    0.466832
         1.7    0.466905
         1.7    0.466879
       1.725    0.472907
       1.725    0.473703
       1.725    0.473687
       1.725    0.473176
       1.725    0.473053
       1.725    0.472958
       1.725    0.473057
       1.725    0.472822
       1.725    0.473063
       1.725    0.472983
       1.725     0.47297
       1.725    0.473013
       1.725    0.473023
       1.725    0.472992
       1.725    0.472994
       1.725    0.473004
       1.725    0.472915
       1.725    0.472942
       1.725      0.4729
       1.725    0.472901
        1.75    0.480861
