#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
        0.75           4     16.5308     19.1793     1.00743
        0.75           5     20.2581     19.3951    0.828725
        0.75           6     19.8904     19.4776    0.694704
        0.75           7     17.3449     19.1729     0.65889
        0.75           8     22.1349     19.5432    0.672555
        0.75           9     18.8837     19.4699    0.601804
        0.75          10     17.3489     19.2578    0.577793
        0.75          11     21.6417     19.4745    0.564447
        0.75          12     18.4753     19.3913    0.523515
        0.75          13     17.7219     19.2629    0.498745
        0.75          14       18.37     19.1991     0.46718
        0.75          15     18.7061     19.1662    0.437189
        0.75          16     16.9653     19.0287    0.430962
        0.75          17     21.4127     19.1689    0.427821
        0.75          18     18.6071     19.1377     0.40519
        0.75          19     17.5843     19.0559    0.392026
        0.75          20     18.9795     19.0521    0.372443
       0.775           1     17.1553     17.1553           0
       0.775           2     18.1449     17.6501    0.349845
       0.775           3     17.8619     17.7207    0.240245
       0.775           4      16.669     17.4578    0.290362
       0.775           5     17.7675     17.5197    0.238805
       0.775           6     16.1399     17.2897    0.289265
       0.775           7     16.5472     17.1837    0.266685
       0.775           8     17.2761     17.1952      0.2336
       0.775           9     17.8081     17.2633    0.217345
       0.775          10     19.1938     17.4564    0.267962
       0.775          11     18.6219     17.5623    0.263719
       0.775          12     17.1784     17.5303    0.243675
       0.775          13     17.3889     17.5195    0.225174
       0.775          14     14.3969     17.2964    0.299855
       0.775          15     16.1226     17.2182    0.289895
       0.775          16     17.5955     17.2417    0.272734
       0.775          17     17.8788     17.2792    0.259252
       0.775          18     17.3326     17.2822    0.244866
       0.775          19     18.8996     17.3673    0.246332
       0.775          20     14.8127     17.2396     0.26507
         0.8           1     14.8421     14.8421           0
         0.8           2       13.41      14.126     0.50631
         0.8           3     13.9419     14.0646     0.34124
         0.8           4     15.5886     14.4456    0.417572
         0.8           5     15.3851     14.6335    0.373946
         0.8           6     14.2717     14.5732    0.316448
         0.8           7      16.375     14.8306    0.361055
         0.8           8     14.6581     14.8091    0.316567
