#   T     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         0.7           8   -0.895816   -0.893086  0.00166486
         0.7           9   -0.889028   -0.892636  0.00153974
         0.7          10   -0.888096   -0.892182  0.00145114
         0.7          11   -0.891024   -0.892076  0.00132303
         0.7          12   -0.896116   -0.892413  0.00125487
         0.7          13   -0.888524   -0.892114  0.00119347
         0.7          14   -0.890768   -0.892018  0.00111209
         0.7          15    -0.89036   -0.891907  0.00104342
         0.7          16   -0.892744    -0.89196  0.00097952
         0.7          17   -0.894964   -0.892136  0.00093771
         0.7          18   -0.890492   -0.892045 0.000890053
         0.7          19    -0.89278   -0.892084 0.000844049
         0.7          20   -0.890364   -0.891998 0.000806213
       0.725           1   -0.883972   -0.883972           0
       0.725           2   -0.883136   -0.883554 0.000295571
       0.725           3   -0.889032    -0.88538  0.00150389
       0.725           4   -0.877004   -0.883286  0.00213561
       0.725           5   -0.881108    -0.88285  0.00175235
       0.725           6   -0.879624   -0.882313  0.00154059
       0.725           7   -0.881428   -0.882186  0.00132568
       0.725           8   -0.883144   -0.882306  0.00116536
       0.725           9   -0.878656     -0.8819  0.00110419
       0.725          10    -0.88116   -0.881826 0.000996252
       0.725          11   -0.879124   -0.881581 0.000935485
       0.725          12   -0.879248   -0.881386 0.000877493
       0.725          13   -0.884268   -0.881608 0.000837523
       0.725          14   -0.881656   -0.881611 0.000777707
       0.725          15   -0.878048   -0.881374 0.000761279
       0.725          16    -0.88562   -0.881639 0.000758547
       0.725          17   -0.886188   -0.881907 0.000759655
       0.725          18   -0.875712   -0.881563 0.000791581
       0.725          19   -0.882564   -0.881615 0.000751671
       0.725          20   -0.883232   -0.881696 0.000718421
        0.75           1   -0.867944   -0.867944           0
        0.75           2    -0.87474   -0.871342  0.00240275
        0.75           3     -0.8735   -0.872061  0.00170611
        0.75           4   -0.868316   -0.871125  0.00151489
        0.75           5    -0.87274   -0.871448  0.00124587
        0.75           6   -0.872532   -0.871629  0.00105124
        0.75           7   -0.868176   -0.871135  0.00101017
        0.75           8   -0.873124   -0.871384 0.000913971
        0.75           9    -0.87088   -0.871328 0.000814132
        0.75          10   -0.866852    -0.87088  0.00084687
        0.75          11   -0.876884   -0.871426 0.000929255
        0.75          12   -0.866832   -0.871043 0.000927336
        0.75          13   -0.868432   -0.870842 0.000877488
        0.75          14   -0.870772   -0.870837 0.000814825
        0.75          15   -0.869952   -0.870778 0.000762638
        0.75          16    -0.86592   -0.870475 0.000773064
        0.75          17   -0.876364   -0.870821  0.00080146
        0.75          18    -0.86566   -0.870534 0.000806596
        0.75          19   -0.866212   -0.870307  0.00079558
        0.75          20    -0.86754   -0.870169 0.000767735
       0.775           1   -0.861096   -0.861096           0
       0.775           2   -0.862304     -0.8617 0.000427092
       0.775           3    -0.85954    -0.86098   0.0006532
       0.775           4    -0.85984   -0.860695 0.000548562
       0.775           5    -0.85602    -0.85976 0.000944441
       0.775           6   -0.854608   -0.858901  0.00111079
       0.775           7   -0.858732   -0.858877 0.000952366
       0.775           8    -0.85956   -0.858963 0.000837137
       0.775           9   -0.863504   -0.859467 0.000883208
       0.775          10   -0.863176   -0.859838 0.000869281
       0.775          11   -0.863208   -0.860144 0.000842514
       0.775          12    -0.85992   -0.860126 0.000772512
       0.775          13   -0.860984   -0.860192 0.000715904
       0.775          14   -0.855896   -0.859885 0.000727557
       0.775          15   -0.860456   -0.859923 0.000680049
       0.775          16   -0.859072    -0.85987 0.000639622
       0.775          17   -0.861228    -0.85995 0.000606967
       0.775          18    -0.86016   -0.859961 0.000573359
       0.775          19     -0.8626     -0.8601 0.000559749
       0.775          20   -0.852896    -0.85974 0.000637208
         0.8           1   -0.846852   -0.846852           0
         0.8           2   -0.843856   -0.845354  0.00105925
         0.8           3    -0.84732   -0.846009 0.000885988
         0.8           4    -0.84894   -0.846742 0.000918776
         0.8           5   -0.852524   -0.847898  0.00126888
         0.8           6   -0.847424   -0.847819  0.00105986
         0.8           7   -0.847856   -0.847825 0.000908467
         0.8           8     -0.8468   -0.847697 0.000803885
         0.8           9   -0.845608   -0.847464 0.000747308
         0.8          10   -0.849696   -0.847688 0.000705109
         0.8          11   -0.852724   -0.848145 0.000775542
         0.8          12   -0.848908   -0.848209 0.000713512
         0.8          13   -0.844188     -0.8479 0.000722565
         0.8          14    -0.85004   -0.848053 0.000686936
         0.8          15   -0.849116   -0.848123 0.000644788
         0.8          16   -0.846952    -0.84805 0.000608632
         0.8          17   -0.850532   -0.848196 0.000590078
         0.8          18   -0.851616   -0.848386 0.000587085
         0.8          19   -0.845512   -0.848235 0.000575345
         0.8          20   -0.850844   -0.848365 0.000561172
       0.825           1   -0.835796   -0.835796           0
       0.825           2   -0.835344    -0.83557 0.000159806
       0.825           3   -0.835864   -0.835668  0.00013324
       0.825           4   -0.843732   -0.837684  0.00174876
       0.825           5   -0.834592   -0.837066  0.00150438
       0.825           6   -0.834868   -0.836699  0.00129747
       0.825           7    -0.83514   -0.836477  0.00113108
       0.825           8   -0.837936   -0.836659   0.0010043
       0.825           9   -0.834516   -0.836421 0.000920506
       0.825          10    -0.83784   -0.836563 0.000839323
       0.825          11   -0.836084   -0.836519 0.000764149
       0.825          12   -0.833436   -0.836262 0.000742411
       0.825          13   -0.841356   -0.836654 0.000781891
       0.825          14   -0.837676   -0.836727  0.00072944
       0.825          15   -0.836116   -0.836686 0.000681948
       0.825          16   -0.834816    -0.83657 0.000649268
       0.825          17   -0.842556   -0.836922 0.000700091
       0.825          18   -0.843044   -0.837262 0.000739218
       0.825          19    -0.83614   -0.837203 0.000702665
       0.825          20   -0.832948    -0.83699 0.000698994
        0.85           1   -0.826948   -0.826948           0
        0.85           2   -0.826564   -0.826756 0.000135765
        0.85           3   -0.827656   -0.827056 0.000261136
        0.85           4   -0.824876   -0.826511 0.000511006
        0.85           5    -0.82614   -0.826437 0.000414157
        0.85           6     -0.8255   -0.826281 0.000373403
        0.85           7   -0.824812   -0.826071 0.000374392
        0.85           8   -0.826928   -0.826178 0.000342581
        0.85           9   -0.823584    -0.82589 0.000408133
        0.85          10   -0.830924   -0.826393 0.000602507
        0.85          11   -0.829984    -0.82672 0.000629988
        0.85          12   -0.823444   -0.826447 0.000633874
        0.85          13   -0.822696   -0.826158 0.000647453
        0.85          14    -0.82726   -0.826237 0.000605971
        0.85          15    -0.82436   -0.826112 0.000578347
        0.85          16   -0.826672   -0.826147 0.000543259
        0.85          17   -0.823648      -0.826 0.000530815
        0.85          18   -0.825628   -0.825979 0.000501727
        0.85          19   -0.827264   -0.826047 0.000479856
        0.85          20   -0.824328   -0.825961 0.000463495
       0.875           1   -0.813276   -0.813276           0
       0.875           2   -0.812576   -0.812926 0.000247487
       0.875           3   -0.817644   -0.814499  0.00129463
       0.875           4    -0.81244   -0.813984  0.00106839
       0.875           5   -0.812944   -0.813776 0.000874724
       0.875           6   -0.814988   -0.813978 0.000751899
       0.875           7    -0.81486   -0.814104 0.000654957
       0.875           8   -0.815412   -0.814268 0.000593144
       0.875           9   -0.817952   -0.814677  0.00065342
       0.875          10   -0.815588   -0.814768 0.000594397
       0.875          11    -0.81012   -0.814345  0.00067402
       0.875          12   -0.815416   -0.814435 0.000623728
       0.875          13   -0.816036   -0.814558 0.000587786
       0.875          14   -0.813624   -0.814491 0.000549573
       0.875          15   -0.811888   -0.814318  0.00053964
       0.875          16   -0.816004   -0.814423 0.000516103
       0.875          17   -0.817452   -0.814601 0.000515584
       0.875          18   -0.816252   -0.814693  0.00049503
       0.875          19   -0.815276   -0.814724 0.000469926
       0.875          20   -0.817708   -0.814873 0.000469524
         0.9           1   -0.806384   -0.806384           0
         0.9           2   -0.804816     -0.8056 0.000554372
         0.9           3   -0.807144   -0.806115 0.000559623
         0.9           4     -0.8071   -0.806361 0.000470821
         0.9           5   -0.805224   -0.806134 0.000428064
         0.9           6   -0.801312    -0.80533 0.000815717
         0.9           7   -0.807072   -0.805579 0.000736168
         0.9           8   -0.802528   -0.805198 0.000736328
         0.9           9   -0.808316   -0.805544 0.000731513
         0.9          10   -0.802328   -0.805222 0.000725619
         0.9          11   -0.803804   -0.805093 0.000671013
         0.9          12   -0.801228   -0.804771 0.000688083
         0.9          13   -0.806748   -0.804923 0.000651737
         0.9          14   -0.804776   -0.804913 0.000605269
         0.9          15   -0.802576   -0.804757 0.000584624
         0.9          16   -0.806092   -0.804841 0.000554006
         0.9          17   -0.804456   -0.804818 0.000521879
         0.9          18   -0.801028   -0.804607 0.000533671
         0.9          19   -0.803596   -0.804554  0.00050823
         0.9          20   -0.805936   -0.804623 0.000487493
       0.925           1     -0.7922     -0.7922           0
       0.925           2   -0.795484   -0.793842  0.00116107
       0.925           3   -0.792224   -0.793303 0.000890544
       0.925           4   -0.793316   -0.793306 0.000667914
       0.925           5   -0.791296   -0.792904 0.000644044
       0.925           6   -0.795016   -0.793256 0.000625543
       0.925           7    -0.79486   -0.793485 0.000576623
       0.925           8   -0.791984   -0.793298 0.000534205
       0.925           9   -0.793408    -0.79331  0.00047499
       0.925          10   -0.798692   -0.793848  0.00066593
