#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
        0.75          14    0.345212    0.362435  0.00904457
        0.75          15     0.38212    0.363747  0.00853628
        0.75          16    0.367738    0.363997   0.0080064
        0.75          17    0.370666    0.364389  0.00754504
        0.75          18    0.348824    0.363524  0.00717525
        0.75          19    0.375524    0.364156  0.00682535
        0.75          20    0.270764    0.359486    0.007922
       0.775           1    0.277334    0.277334           0
       0.775           2    0.357282    0.317308   0.0282659
       0.775           3    0.317596    0.317404   0.0188441
       0.775           4     0.35375    0.326491   0.0161761
       0.775           5    0.328888     0.32697    0.012948
       0.775           6     0.31798    0.325472   0.0108763
       0.775           7    0.291698    0.320647   0.0103375
       0.775           8    0.349454    0.324248  0.00965211
       0.775           9    0.301814    0.321755  0.00889569
       0.775          10     0.34045    0.323625  0.00820021
       0.775          11    0.352802    0.326277  0.00787205
       0.775          12    0.301236     0.32419  0.00748753
       0.775          13    0.317292     0.32366  0.00693034
       0.775          14     0.31256    0.322867  0.00648051
       0.775          15     0.30216    0.321486  0.00619376
       0.775          16    0.298278    0.320036  0.00597409
       0.775          17    0.396068    0.324508  0.00710217
       0.775          18     0.32951    0.324786  0.00671304
       0.775          19    0.364356    0.326869  0.00667496
       0.775          20    0.280628    0.324557  0.00672973
         0.8           1    0.311978    0.311978           0
         0.8           2    0.277542     0.29476    0.012175
         0.8           3    0.327286    0.305602   0.0120102
         0.8           4    0.241048    0.289464   0.0166276
         0.8           5    0.322116    0.295994    0.014528
         0.8           6    0.305696    0.297611   0.0121963
         0.8           7    0.257938    0.291943    0.011697
         0.8           8    0.310728    0.294292   0.0104679
         0.8           9    0.287884     0.29358  0.00932894
         0.8          10    0.311036    0.295325  0.00855781
         0.8          11    0.286674    0.294539  0.00781588
         0.8          12    0.299466    0.294949  0.00717534
         0.8          13    0.311866    0.296251  0.00674035
         0.8          14    0.307666    0.297066  0.00630803
         0.8          15     0.25451    0.294229  0.00649422
         0.8          16    0.276642     0.29313  0.00618065
         0.8          17    0.274028    0.292006  0.00591834
         0.8          18    0.313344    0.293192  0.00570703
         0.8          19     0.29571    0.293324   0.0054082
         0.8          20    0.309904    0.294153  0.00520094
       0.825           1    0.285648    0.285648           0
       0.825           2    0.312132     0.29889  0.00936351
       0.825           3    0.227758    0.275179   0.0203412
       0.825           4    0.296224    0.280441   0.0159217
       0.825           5     0.24738    0.273828   0.0140434
       0.825           6    0.283922    0.275511   0.0118032
       0.825           7      0.2175    0.267223   0.0126973
       0.825           8    0.247766    0.264791   0.0113407
       0.825           9    0.255384    0.263746   0.0101286
       0.825          10    0.252016    0.262573  0.00918346
       0.825          11    0.274864     0.26369   0.0084163
       0.825          12     0.28821    0.265734  0.00795911
       0.825          13    0.263264    0.265544  0.00734914
       0.825          14    0.257168    0.264945  0.00684851
       0.825          15    0.278246    0.265832  0.00644909
       0.825          16    0.300792    0.268017  0.00640548
       0.825          17    0.309686    0.270468  0.00648071
       0.825          18    0.247974    0.269219  0.00623999
       0.825          19    0.320442    0.271915   0.0064678
       0.825          20    0.284956    0.272567  0.00617719
        0.85           1    0.180454    0.180454           0
        0.85           2     0.25801    0.219232   0.0274202
        0.85           3     0.21546    0.217975   0.0183089
        0.85           4    0.233992    0.221979   0.0141628
        0.85           5    0.229846    0.223552   0.0114173
        0.85           6    0.228534    0.224383  0.00954457
        0.85           7    0.245042    0.227334   0.0086253
        0.85           8    0.221738    0.226635  0.00757545
        0.85           9    0.283374    0.232939  0.00898178
        0.85          10     0.21215     0.23086  0.00832071
        0.85          11    0.255476    0.233098  0.00785945
        0.85          12    0.235488    0.233297  0.00720702
        0.85          13    0.210074    0.231511  0.00687046
        0.85          14    0.242508    0.232296  0.00642446
        0.85          15    0.232054     0.23228  0.00599618
        0.85          16    0.213294    0.231093  0.00573764
        0.85          17    0.247838    0.232078  0.00548402
        0.85          18     0.24156    0.232605  0.00520459
        0.85          19    0.287314    0.235485  0.00567152
        0.85          20    0.253424    0.236382  0.00545841
       0.875           1     0.20588     0.20588           0
       0.875           2    0.233378    0.219629  0.00972201
       0.875           3    0.208766    0.216008  0.00712382
       0.875           4    0.172314    0.205085   0.0108645
       0.875           5    0.243074    0.212682    0.011033
       0.875           6    0.230298    0.215618  0.00957683
       0.875           7    0.211478    0.215027  0.00822696
       0.875           8     0.20198    0.213396  0.00735846
       0.875           9    0.262896    0.218896  0.00834695
       0.875          10    0.235698    0.220576  0.00767951
       0.875          11    0.225156    0.220993  0.00699265
       0.875          12    0.234338    0.222105  0.00649776
       0.875          13    0.248314    0.224121  0.00630295
       0.875          14    0.245576    0.225653  0.00603618
       0.875          15    0.175874    0.222335  0.00648215
       0.875          16    0.160296    0.218457  0.00714317
       0.875          17     0.22727    0.218976  0.00674177
       0.875          18    0.253612      0.2209  0.00663616
       0.875          19    0.179306    0.218711  0.00663815
       0.875          20     0.23708    0.219629  0.00636947
         0.9           1    0.213586    0.213586           0
         0.9           2    0.216616    0.215101  0.00107127
         0.9           3    0.207612    0.212605  0.00215975
         0.9           4    0.230312    0.217032   0.0041619
         0.9           5    0.205252    0.214676  0.00394029
         0.9           6    0.233724     0.21785  0.00437961
         0.9           7      0.2031    0.215743  0.00423061
         0.9           8    0.149614    0.207477   0.0085727
         0.9           9    0.190838    0.205628  0.00781699
         0.9          10    0.230356    0.208101   0.0074161
         0.9          11    0.239684    0.210972  0.00727651
         0.9          12    0.197968    0.209889  0.00675034
         0.9          13    0.232702    0.211643  0.00645517
         0.9          14    0.234538    0.213279  0.00619777
         0.9          15     0.21807    0.213598  0.00579281
         0.9          16     0.18133    0.211581  0.00577116
         0.9          17    0.185498    0.210047  0.00563194
         0.9          18     0.18513    0.208663  0.00548654
         0.9          19    0.193142    0.207846  0.00525823
         0.9          20     0.20297    0.207602  0.00500097
       0.925           1    0.205196    0.205196           0
       0.925           2    0.204604      0.2049 0.000209304
       0.925           3    0.169898    0.193233  0.00952736
