#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
       0.725          12    0.437408    0.441673  0.00341924
       0.725          13    0.426959    0.440541  0.00333831
       0.725          14    0.417312    0.438882  0.00348792
       0.725          15     0.41656    0.437394  0.00355871
       0.725          16    0.440551    0.437591  0.00334176
       0.725          17    0.442383    0.437873  0.00315705
       0.725          18    0.419096     0.43683  0.00314928
       0.725          19    0.447892    0.437412  0.00303687
       0.725          20    0.439831    0.437533  0.00288743
        0.75           1    0.439586    0.439586           0
        0.75           2    0.432797    0.436192  0.00240043
        0.75           3    0.455857    0.442747  0.00558631
        0.75           4    0.425632    0.438468  0.00559317
        0.75           5    0.416174    0.434009  0.00599392
        0.75           6    0.425008    0.432509  0.00517928
        0.75           7     0.44368    0.434105  0.00467879
        0.75           8    0.439019    0.434719  0.00413407
        0.75           9    0.449554    0.436368  0.00398984
        0.75          10    0.436545    0.436385   0.0035909
        0.75          11    0.427884    0.435612  0.00334659
        0.75          12    0.445717    0.436454  0.00317188
        0.75          13    0.409719    0.434398  0.00353225
        0.75          14    0.455847     0.43593  0.00359688
        0.75          15     0.44636    0.436625  0.00342364
        0.75          16    0.445057    0.437152  0.00324997
        0.75          17     0.41708    0.435972  0.00326624
        0.75          18    0.427539    0.435503   0.0031182
        0.75          19     0.44653    0.436083  0.00300761
        0.75          20    0.444857    0.436522  0.00288904
       0.775           1    0.444331    0.444331           0
       0.775           2    0.431248     0.43779   0.0046256
       0.775           3    0.454003    0.443194  0.00538356
       0.775           4    0.437474    0.441764  0.00422332
       0.775           5     0.45957    0.445325  0.00464338
       0.775           6    0.436197    0.443804  0.00411117
       0.775           7    0.438335    0.443023  0.00359734
       0.775           8    0.441756    0.442864  0.00315115
       0.775           9     0.43404    0.441884  0.00294963
       0.775          10    0.436742     0.44137  0.00269911
       0.775          11    0.435736    0.440858  0.00250185
       0.775          12    0.460999    0.442536  0.00280035
       0.775          13    0.434643    0.441929  0.00264994
       0.775          14    0.449047    0.442437  0.00250896
       0.775          15    0.446517    0.442709  0.00235639
       0.775          16    0.433923     0.44216  0.00227221
       0.775          17    0.441723    0.442134   0.0021387
       0.775          18    0.422857    0.441063  0.00227227
       0.775          19     0.41476    0.439679  0.00253963
       0.775          20    0.438209    0.439606  0.00241371
         0.8           1    0.445615    0.445615           0
         0.8           2    0.432375    0.438995  0.00468121
         0.8           3    0.428189    0.435393  0.00428829
         0.8           4    0.458783    0.441241  0.00599916
         0.8           5     0.42715    0.438423  0.00542099
         0.8           6    0.415257    0.434562   0.0057297
         0.8           7    0.446189    0.436223  0.00514634
         0.8           8    0.438302    0.436483   0.0045096
         0.8           9    0.450551    0.438046  0.00427086
         0.8          10    0.459251    0.440166  0.00433839
         0.8          11    0.429055    0.439156  0.00405989
         0.8          12    0.449809    0.440044  0.00381738
         0.8          13    0.425518    0.438927  0.00368363
         0.8          14    0.436428    0.438748  0.00342483
         0.8          15    0.433605    0.438405  0.00321363
         0.8          16     0.42984     0.43787  0.00305704
         0.8          17    0.446895    0.438401  0.00292295
         0.8          18    0.439489    0.438461  0.00276119
         0.8          19    0.445329    0.438823  0.00263942
         0.8          20      0.4423    0.438997  0.00251317
       0.825           1    0.441712    0.441712           0
       0.825           2    0.442751    0.442232 0.000367384
       0.825           3    0.456182    0.446882  0.00380475
       0.825           4    0.431782    0.443107  0.00433938
       0.825           5    0.439641    0.442414  0.00352643
       0.825           6    0.424353    0.439404  0.00402325
       0.825           7    0.439017    0.439348  0.00344888
       0.825           8    0.437129    0.439071  0.00302891
       0.825           9    0.438612     0.43902  0.00269279
       0.825          10    0.453487    0.440467  0.00278513
       0.825          11    0.446127    0.440981  0.00257904
       0.825          12    0.429854    0.440054  0.00252531
       0.825          13    0.451908    0.440966  0.00249026
       0.825          14    0.429076    0.440117  0.00245293
       0.825          15    0.430974    0.439507  0.00236392
       0.825          16    0.435202    0.439238  0.00223143
       0.825          17    0.438585      0.4392   0.0021005
       0.825          18    0.441234    0.439313  0.00198685
       0.825          19    0.446829    0.439708  0.00192125
       0.825          20    0.447761    0.440111   0.0018669
        0.85           1    0.415785    0.415785           0
        0.85           2    0.442922    0.429353  0.00959431
        0.85           3     0.44104    0.433249  0.00714342
        0.85           4    0.423625    0.430843  0.00574851
        0.85           5    0.434883    0.431651  0.00465525
        0.85           6    0.437706     0.43266  0.00398726
        0.85           7    0.442336    0.434042  0.00364941
        0.85           8    0.443891    0.435274  0.00339455
        0.85           9    0.445365    0.436395   0.0031972
        0.85          10    0.427336    0.435489  0.00300308
        0.85          11    0.447861    0.436614  0.00293313
        0.85          12    0.437085    0.436653  0.00268897
        0.85          13    0.441158    0.436999  0.00250436
        0.85          14    0.447621    0.437758  0.00243769
        0.85          15    0.426903    0.437035  0.00238017
        0.85          16    0.435741    0.436954  0.00223278
        0.85          17    0.452741    0.437882  0.00228642
        0.85          18     0.45565    0.438869  0.00236288
        0.85          19    0.424007    0.438087  0.00236446
        0.85          20    0.437187    0.438042  0.00224667
       0.875           1    0.440464    0.440464           0
       0.875           2    0.441187    0.440826 0.000255778
       0.875           3      0.4492    0.443617  0.00228568
       0.875           4    0.430501    0.440338  0.00331702
       0.875           5    0.448996     0.44207  0.00307253
       0.875           6    0.449067    0.443236  0.00277294
       0.875           7     0.45187    0.444469  0.00263689
       0.875           8    0.441621    0.444113  0.00233119
       0.875           9     0.42789    0.442311  0.00267996
       0.875          10    0.453194    0.443399  0.00262367
       0.875          11    0.436189    0.442744  0.00246568
       0.875          12    0.443013    0.442766  0.00226031
       0.875          13     0.43127    0.441882  0.00225279
       0.875          14    0.452352     0.44263  0.00221254
       0.875          15    0.435242    0.442137  0.00211915
       0.875          16    0.420093    0.440759  0.00239304
       0.875          17    0.437439    0.440564  0.00226022
       0.875          18    0.435877    0.440304   0.0021496
       0.875          19     0.45771     0.44122  0.00222313
       0.875          20    0.442813    0.441299   0.0021134
         0.9           1    0.427427    0.427427           0
         0.9           2    0.433844    0.430635  0.00226887
         0.9           3    0.438088     0.43312  0.00253024
         0.9           4    0.404009    0.425842  0.00658203
         0.9           5    0.441318    0.428937  0.00594902
         0.9           6    0.438835    0.430587   0.0051812
         0.9           7    0.432641     0.43088  0.00444933
         0.9           8    0.459399    0.434445  0.00512601
         0.9           9    0.436242    0.434645  0.00456034
         0.9          10    0.433574    0.434538  0.00410556
         0.9          11    0.421142     0.43332  0.00390876
         0.9          12    0.440173    0.433891  0.00362451
         0.9          13    0.443662    0.434643  0.00342274
         0.9          14    0.452931    0.435949  0.00341847
         0.9          15     0.43423    0.435834  0.00319249
         0.9          16    0.442084    0.436225  0.00301676
         0.9          17    0.442703    0.436606  0.00286327
         0.9          18    0.447021    0.437185  0.00276204
         0.9          19    0.420698    0.436317  0.00274959
         0.9          20    0.433304    0.436166  0.00261623
       0.925           1    0.436821    0.436821           0
       0.925           2    0.415161    0.425991  0.00765767
       0.925           3    0.434613    0.428865  0.00561864
       0.925           4    0.449119    0.433929  0.00608168
       0.925           5    0.435751    0.434293  0.00487626
       0.925           6    0.429057     0.43342   0.0041409
       0.925           7    0.442443    0.434709   0.0037446
       0.925           8    0.433238    0.434525  0.00328104
       0.925           9    0.436941    0.434794  0.00292743
